Algorithm,WaitTime_Count,WaitTime_Mean,WaitTime_Std,WaitTime_CV,WaitTime_Min,WaitTime_Median,WaitTime_Max,Turnaround_Count,Turnaround_Mean,Turnaround_Std,Turnaround_CV,Turnaround_Min,Turnaround_Median,Turnaround_Max
Loteria,22,7.863636363636363,7.49790735596371,0.9534911088508765,0,5.0,31,22,11.909090909090908,8.251459270127926,0.6928706257359327,4,10.5,40
Prioridade,17,1.0,1.8027756377319948,1.8027756377319946,0,0.0,7,17,5.647058823529412,2.827126997293105,0.5006370724373207,2,5.0,11
