Algorithm,WaitTime_Count,WaitTime_Mean,WaitTime_Std,WaitTime_CV,WaitTime_Min,WaitTime_Median,WaitTime_Max,Turnaround_Count,Turnaround_Mean,Turnaround_Std,Turnaround_CV,Turnaround_Min,Turnaround_Median,Turnaround_Max
Loteria,17,15.352941176470589,17.10241640993528,1.1139504941337155,0,7.0,54,17,21.352941176470587,16.85578971922774,0.7893896011759548,3,14.0,61
Prioridade,18,13.444444444444445,18.11473960203881,1.3473773257714816,0,4.0,62,18,19.27777777777778,18.444848015113966,0.956793268795537,2,12.0,68
