Algorithm,WaitTime_Count,WaitTime_Mean,WaitTime_Std,WaitTime_CV,WaitTime_Min,WaitTime_Median,WaitTime_Max,Turnaround_Count,Turnaround_Mean,Turnaround_Std,Turnaround_CV,Turnaround_Min,Turnaround_Median,Turnaround_Max
Loteria,22,5.0,5.8878405775518985,1.1775681155103794,0,3.0,24,22,9.0,5.494586079995124,0.6105095644439027,2,8.5,26
Prioridade,22,4.909090909090909,7.289320896640449,1.4848616641304622,0,2.5,32,22,8.954545454545455,7.1546007357721715,0.7989909451116131,1,8.0,35
